TxID,Zone,CID,"r_{i,t}","phi_{i,t}","p_{i,t,j,1}",Aadhaar,Device Drain,Temp (°C),Elevation (m),Proxy Access,Scan Result
T000000,Z1,e4824c,1,0.281,0.759,Linked,27%,38.0,278,Enabled,Valid
T000001,Z1,f271e8,1,0.443,0.353,Linked,81%,30.0,959,Enabled,Failed
T000002,Z3,9fc220,1,0.335,0.617,Anonymous,45%,29.3,789,Disabled,Valid
T000003,Z1,85e697,1,0.404,0.435,Anonymous,68%,35.0,875,Enabled,Failed
T000004,Z5,bfc982,1,0.317,0.702,Linked,39%,38.6,263,Enabled,Valid
T000005,Z1,40c6b3,1,0.29,0.744,Anonymous,30%,32.6,529,Disabled,Valid
T000006,Z1,31fa01,1,0.407,0.495,Linked,69%,32.7,549,Enabled,Valid
T000007,Z1,3fde81,1,0.332,0.631,Anonymous,44%,28.0,744,Disabled,Failed
T000008,Z4,e21c5e,1,0.323,0.617,Anonymous,41%,38.2,638,Enabled,Valid
T000009,Z5,986b2b,1,0.425,0.536,Linked,75%,34.4,196,Enabled,Valid
T000010,Z2,c11967,1,0.458,0.333,Anonymous,86%,41.9,1183,Disabled,Failed
T000011,Z1,5ae891,1,0.272,0.795,Anonymous,24%,31.4,423,Disabled,Valid
T000012,Z3,7fc127,1,0.422,0.547,Linked,74%,36.1,413,Disabled,Failed
T000013,Z5,121ae5,1,0.236,0.771,Anonymous,12%,28.7,843,Disabled,Failed
T000014,Z3,7c1043,1,0.26,0.802,Linked,20%,38.0,241,Enabled,Valid
T000015,Z2,66c6b1,1,0.431,0.422,Linked,77%,40.1,966,Disabled,Failed
T000016,Z2,a74363,1,0.428,0.499,Anonymous,76%,33.8,607,Disabled,Valid
T000017,Z1,fda0d6,1,0.257,0.811,Linked,19%,37.6,220,Enabled,Valid
T000018,Z1,cbf5f5,1,0.416,0.566,Linked,72%,30.2,370,Disabled,Failed
T000019,Z5,8eab93,1,0.386,0.63,Linked,62%,29.9,298,Disabled,Valid
T000020,Z4,e6884a,1,0.251,0.706,Linked,17%,33.0,794,Enabled,Failed
T000021,Z2,136d06,1,0.392,0.421,Anonymous,64%,29.8,1047,Enabled,Failed
T000022,Z1,b2c015,1,0.263,0.728,Linked,21%,40.9,584,Enabled,Valid
T000023,Z4,80fd7d,1,0.374,0.48,Linked,58%,27.0,899,Enabled,Failed
T000024,Z4,4457ba,1,0.302,0.736,Anonymous,34%,31.5,219,Enabled,Valid
T000025,Z1,3f78d1,1,0.422,0.393,Linked,74%,40.8,1187,Disabled,Valid
T000026,Z5,91c4c9,1,0.32,0.629,Linked,40%,33.1,604,Enabled,Valid
T000027,Z5,819594,1,0.308,0.671,Anonymous,36%,37.0,743,Disabled,Valid
T000028,Z2,c14807,0.83,0.233,0.834,Anonymous,11%,33.9,304,Enabled,Valid
T000029,Z5,72e366,1,0.323,0.66,Anonymous,41%,32.5,423,Enabled,Failed
